"naics","industry_name"
"111110"," Soybean farming"
"111120"," Oilseed (except soybean) farming"
"111140"," Wheat farming"
"111150"," Corn farming"
"111191"," Oilseed and grain combination farming"
"111199"," All other grain farming"
"111211"," Potato farming"
"111219"," Other vegetable (except potato) and melon farming"
"111331"," Apple orchards"
"111332"," Grape vineyards"
"111333"," Strawberry farming"
"111334"," Berry (except strawberry) farming"
"111335"," Tree nut farming"
"111336"," Fruit and tree nut combination farming"
"111339"," Other noncitrus fruit farming"
"111411"," Mushroom production"
"111419"," Other food crops grown under cover"
"111421"," Nursery and tree production"
"111422"," Floriculture production"
"111940"," Hay farming"
"111991"," Sugar beet farming"
"111998"," All other miscellaneous crop farming"
"112111"," Beef cattle ranching and farming"
"112112"," Cattle feedlots"
"112120"," Dairy cattle and milk production"
"112210"," Hog and pig farming"
"112310"," Chicken egg production"
"112320"," Broilers and other meat type chicken production"
"112340"," Poultry hatcheries"
"112390"," Other poultry production"
"112410"," Sheep farming"
"112420"," Goat farming"
"112511"," Finfish farming and fish hatcheries"
"112512"," Shellfish farming"
"112519"," Other aquaculture"
"112910"," Apiculture"
"112920"," Horses and other equine production"
"112930"," Fur-bearing animal and rabbit production"
"112990"," All other animal production"
"113110"," Timber tract operations"
"113210"," Forest nurseries and gathering of forest products"
"113310"," Logging"
"114111"," Finfish fishing"
"114112"," Shellfish fishing"
"114210"," Hunting and trapping"
"115112"," Soil preparation, planting, and cultivating"
"115113"," Crop harvesting, primarily by machine"
"115114"," Postharvest crop activities (except cotton ginning)"
"115115"," Farm labor contractors and crew leaders"
"115116"," Farm management services"
"115210"," Support activities for animal production"
"115310"," Support activities for forestry"
"212220"," Gold ore and silver ore mining"
"212311"," Dimension stone mining and quarrying"
"212312"," Crushed and broken limestone mining and quarrying"
"212313"," Crushed and broken granite mining and quarrying"
"212319"," Other crushed and broken stone mining and quarrying"
"212321"," Construction sand and gravel mining"
"212323"," Kaolin, clay, and ceramic and refractory minerals mining"
"212390"," Other nonmetallic mineral mining and quarrying"
"213111"," Drilling oil and gas wells"
"213112"," Support activities for oil and gas operations"
"213115"," Support activities for nonmetallic minerals (except fuels) mining"
"221111"," Hydroelectric power generation"
"221112"," Fossil fuel electric power generation"
"221114"," Solar electric power generation"
"221115"," Wind electric power generation"
"221116"," Geothermal electric power generation"
"221117"," Biomass electric power generation"
"221118"," Other electric power generation"
"221121"," Electric bulk power transmission and control"
"221122"," Electric power distribution"
"221210"," Natural gas distribution"
"221310"," Water supply and irrigation systems"
"221320"," Sewage treatment facilities"
"236115"," New single-family housing construction (except for-sale builders)"
"236116"," New multifamily housing construction (except for-sale builders)"
"236117"," New housing for-sale builders"
"236118"," Residential remodelers"
"236210"," Industrial building construction"
"236220"," Commercial and institutional building construction"
"237110"," Water and sewer line and related structures construction"
"237120"," Oil and gas pipeline and related structures construction"
"237130"," Power and communication line and related structures construction"
"237210"," Land subdivision"
"237310"," Highway, street, and bridge construction"
"237990"," Other heavy and civil engineering construction"
"238111"," Residential poured foundation contractors"
"238112"," Nonresidential poured foundation contractors"
"238121"," Residential structural steel contractors"
"238122"," Nonresidential structural steel contractors"
"238131"," Residential framing contractors"
"238132"," Nonresidential framing contractors"
"238141"," Residential masonry contractors"
"238142"," Nonresidential masonry contractors"
"238151"," Residential glass and glazing contractors"
"238152"," Nonresidential glass and glazing contractors"
"238161"," Residential roofing contractors"
"238162"," Nonresidential roofing contractors"
"238171"," Residential siding contractors"
"238172"," Nonresidential siding contractors"
"238191"," Other residential exterior contractors"
"238192"," Other nonresidential exterior contractors"
"238211"," Residential electrical contractors"
"238212"," Nonresidential electrical contractors"
"238221"," Residential plumbing and hvac contractors"
"238222"," Nonresidential plumbing and hvac contractors"
"238291"," Other residential equipment contractors"
"238292"," Other nonresidential equipment contractors"
"238311"," Residential drywall contractors"
"238312"," Nonresidential drywall contractors"
"238321"," Residential painting contractors"
"238322"," Nonresidential painting contractors"
"238331"," Residential flooring contractors"
"238332"," Nonresidential flooring contractors"
"238341"," Residential tile and terrazzo contractors"
"238342"," Nonresidential tile and terrazzo contractors"
"238351"," Residential finish carpentry contractors"
"238352"," Nonresidential finish carpentry contractors"
"238391"," Other residential finishing contractors"
"238392"," Other nonresidential finishing contractors"
"238911"," Residential site preparation contractors"
"238912"," Nonresidential site preparation contractors"
"238991"," All other residential trade contractors"
"238992"," All other nonresidential trade contractors"
"311111"," Dog and cat food manufacturing"
"311119"," Other animal food manufacturing"
"311211"," Flour milling"
"311213"," Malt manufacturing"
"311224"," Soybean and other oilseed processing"
"311225"," Fats and oils refining and blending"
"311230"," Breakfast cereal manufacturing"
"311340"," Nonchocolate confectionery manufacturing"
"311351"," Chocolate and confectionery manufacturing from cacao beans"
"311352"," Confectionery manufacturing from purchased chocolate"
"311411"," Frozen fruit, juice, and vegetable manufacturing"
"311412"," Frozen specialty food manufacturing"
"311421"," Fruit and vegetable canning"
"311422"," Specialty canning"
"311423"," Dried and dehydrated food manufacturing"
"311511"," Fluid milk manufacturing"
"311512"," Creamery butter manufacturing"
"311513"," Cheese manufacturing"
"311520"," Ice cream and frozen dessert manufacturing"
"311611"," Animal (except poultry) slaughtering"
"311612"," Meat processed from carcasses"
"311613"," Rendering and meat byproduct processing"
"311615"," Poultry processing"
"311710"," Seafood product preparation and packaging"
"311811"," Retail bakeries"
"311812"," Commercial bakeries"
"311821"," Cookie and cracker manufacturing"
"311824"," Dry pasta, dough, and flour mixes manufacturing from purchased flour"
"311830"," Tortilla manufacturing"
"311911"," Roasted nuts and peanut butter manufacturing"
"311919"," Other snack food manufacturing"
"311920"," Coffee and tea manufacturing"
"311930"," Flavoring syrup and concentrate manufacturing"
"311941"," Mayonnaise, dressing, and other prepared sauce manufacturing"
"311942"," Spice and extract manufacturing"
"311991"," Perishable prepared food manufacturing"
"311999"," All other miscellaneous food manufacturing"
"312111"," Soft drink manufacturing"
"312112"," Bottled water manufacturing"
"312113"," Ice manufacturing"
"312120"," Breweries"
"312130"," Wineries"
"312140"," Distilleries"
"312230"," Tobacco manufacturing"
"313110"," Fiber, yarn, and thread mills"
"313210"," Broadwoven fabric mills"
"313230"," Nonwoven fabric mills"
"313310"," Textile and fabric finishing mills"
"314120"," Curtain and linen mills"
"314910"," Textile bag and canvas mills"
"314994"," Rope, cordage, twine, tire cord, and tire fabric mills"
"314999"," All other miscellaneous textile product mills"
"315120"," Apparel knitting mills"
"315210"," Cut and sew apparel contractors"
"315250"," Cut and sew apparel manufacturing (except contractors)"
"315990"," Apparel accessories and other apparel manufacturing"
"316110"," Leather and hide tanning and finishing"
"316210"," Footwear manufacturing"
"316990"," Other leather and allied product manufacturing"
"321113"," Sawmills"
"321114"," Wood preservation"
"321211"," Hardwood veneer and plywood manufacturing"
"321212"," Softwood veneer and plywood manufacturing"
"321215"," Engineered wood member manufacturing"
"321219"," Reconstituted wood product manufacturing"
"321911"," Wood window and door manufacturing"
"321912"," Cut stock, resawing lumber, and planing"
"321918"," Other millwork (including flooring)"
"321920"," Wood container and pallet manufacturing"
"321991"," Manufactured home (mobile home) manufacturing"
"321992"," Prefabricated wood building manufacturing"
"321999"," All other miscellaneous wood product manufacturing"
"322110"," Pulp mills"
"322120"," Paper mills"
"322130"," Paperboard mills"
"322211"," Corrugated and solid fiber box manufacturing"
"322212"," Folding paperboard box manufacturing"
"322219"," Other paperboard container manufacturing"
"322220"," Paper bag and coated and treated paper manufacturing"
"322230"," Stationery product manufacturing"
"322291"," Sanitary paper product manufacturing"
"322299"," All other converted paper product manufacturing"
"323111"," Commercial printing (except screen and books)"
"323113"," Commercial screen printing"
"323117"," Books printing"
"323120"," Support activities for printing"
"324110"," Petroleum refineries"
"324121"," Asphalt paving mixture and block manufacturing"
"324122"," Asphalt shingle and coating materials manufacturing"
"324191"," Petroleum lubricating oil and grease manufacturing"
"325120"," Industrial gas manufacturing"
"325130"," Synthetic dye and pigment manufacturing"
"325180"," Other basic inorganic chemical manufacturing"
"325193"," Ethyl alcohol manufacturing"
"325194"," Cyclic crude, intermediate, and gum and wood chemical manufacturing"
"325199"," All other basic organic chemical manufacturing"
"325211"," Plastics material and resin manufacturing"
"325212"," Synthetic rubber manufacturing"
"325311"," Nitrogenous fertilizer manufacturing"
"325312"," Phosphatic fertilizer manufacturing"
"325314"," Fertilizer (mixing only) manufacturing"
"325320"," Pesticide and other agricultural chemical manufacturing"
"325411"," Medicinal and botanical manufacturing"
"325412"," Pharmaceutical preparation manufacturing"
"325413"," In-vitro diagnostic substance manufacturing"
"325414"," Biological product (except diagnostic) manufacturing"
"325510"," Paint and coating manufacturing"
"325520"," Adhesive manufacturing"
"325611"," Soap and other detergent manufacturing"
"325612"," Polish and other sanitation good manufacturing"
"325620"," Toilet preparation manufacturing"
"325910"," Printing ink manufacturing"
"325991"," Custom compounding of purchased resins"
"325992"," Photographic film, paper, plate, chemical, and copy toner manufacturing"
"325998"," All other miscellaneous chemical product and preparation manufacturing"
"326111"," Plastics bag and pouch manufacturing"
"326112"," Plastics packaging film and sheet (including laminated) manufacturing"
"326113"," Unlaminated plastics film and sheet (except packaging) manufacturing"
"326121"," Unlaminated plastics profile shape manufacturing"
"326122"," Plastics pipe and pipe fitting manufacturing"
"326130"," Laminated plastics plate, sheet (except packaging), and shape manufacturing"
"326140"," Polystyrene foam product manufacturing"
"326150"," Urethane and other foam product (except polystyrene) manufacturing"
"326160"," Plastics bottle manufacturing"
"326191"," Plastics plumbing fixture manufacturing"
"326199"," All other plastics product manufacturing"
"326211"," Tire manufacturing (except retreading)"
"326212"," Tire retreading"
"326220"," Rubber and plastics hoses and belting manufacturing"
"326291"," Rubber product manufacturing for mechanical use"
"326299"," All other rubber product manufacturing"
"327110"," Pottery, ceramics, and plumbing fixture manufacturing"
"327120"," Clay building material and refractories manufacturing"
"327211"," Flat glass manufacturing"
"327212"," Other pressed and blown glass and glassware manufacturing"
"327213"," Glass container manufacturing"
"327215"," Glass product manufacturing made of purchased glass"
"327310"," Cement manufacturing"
"327320"," Ready-mix concrete manufacturing"
"327331"," Concrete block and brick manufacturing"
"327332"," Concrete pipe manufacturing"
"327390"," Other concrete product manufacturing"
"327410"," Lime manufacturing"
"327420"," Gypsum product manufacturing"
"327910"," Abrasive product manufacturing"
"327991"," Cut stone and stone product manufacturing"
"327992"," Ground or treated mineral and earth manufacturing"
"327993"," Mineral wool manufacturing"
"327999"," All other miscellaneous nonmetallic mineral product manufacturing"
"331110"," Iron and steel mills and ferroalloy manufacturing"
"331210"," Iron and steel pipe and tube manufacturing from purchased steel"
"331314"," Secondary smelting and alloying of aluminum"
"331315"," Aluminum sheet, plate, and foil manufacturing"
"331318"," Other aluminum rolling, drawing, and extruding"
"331410"," Nonferrous metal (except aluminum) smelting and refining"
"331491"," Nonferrous metal (except copper and aluminum) rolling, drawing, and extruding"
"331492"," Secondary smelting, refining, and alloying of nonferrous metal (except copper and aluminum) "
"331511"," Iron foundries"
"331512"," Steel investment foundries"
"331513"," Steel foundries (except investment)"
"331523"," Nonferrous metal die-casting foundries"
"331524"," Aluminum foundries (except die-casting)"
"331529"," Other nonferrous metal foundries (except die-casting)"
"332111"," Iron and steel forging"
"332112"," Nonferrous forging"
"332114"," Custom roll forming"
"332117"," Powder metallurgy part manufacturing"
"332119"," Metal crown, closure, and other metal stamping (except automotive)"
"332215"," Metal kitchen cookware, utensil, cutlery, and flatware (except precious) manufacturing"
"332216"," Saw blade and handtool manufacturing"
"332311"," Prefabricated metal building and component manufacturing"
"332312"," Fabricated structural metal manufacturing"
"332313"," Plate work manufacturing"
"332321"," Metal window and door manufacturing"
"332322"," Sheet metal work manufacturing"
"332323"," Ornamental and architectural metal work manufacturing"
"332410"," Power boiler and heat exchanger manufacturing"
"332420"," Metal tank (heavy gauge) manufacturing"
"332439"," Other metal container manufacturing"
"332510"," Hardware manufacturing"
"332613"," Spring manufacturing"
"332618"," Other fabricated wire product manufacturing"
"332710"," Machine shops"
"332721"," Precision turned product manufacturing"
"332722"," Bolt, nut, screw, rivet, and washer manufacturing"
"332811"," Metal heat treating"
"332812"," Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers"
"332813"," Electroplating, plating, polishing, anodizing, and coloring"
"332911"," Industrial valve manufacturing"
"332912"," Fluid power valve and hose fitting manufacturing"
"332913"," Plumbing fixture fitting and trim manufacturing"
"332919"," Other metal valve and pipe fitting manufacturing"
"332992"," Small arms ammunition manufacturing"
"332994"," Small arms, ordnance, and ordnance accessories manufacturing"
"332996"," Fabricated pipe and pipe fitting manufacturing"
"332999"," All other miscellaneous fabricated metal product manufacturing"
"333111"," Farm machinery and equipment manufacturing"
"333112"," Lawn and garden tractor and home lawn and garden equipment manufacturing"
"333120"," Construction machinery manufacturing"
"333131"," Mining machinery and equipment manufacturing"
"333132"," Oil and gas field machinery and equipment manufacturing"
"333241"," Food product machinery manufacturing"
"333242"," Semiconductor machinery manufacturing"
"333243"," Sawmill, woodworking, and paper machinery manufacturing"
"333248"," All other industrial machinery manufacturing"
"333310"," Commercial and service industry machinery manufacturing"
"333413"," Industrial and commercial fan and blower and air purification equipment manufacturing"
"333414"," Heating equipment (except warm air furnaces) manufacturing"
"333415"," Air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment manufacturing"
"333511"," Industrial mold manufacturing"
"333514"," Special die and tool, die set, jig, and fixture manufacturing"
"333515"," Cutting tool and machine tool accessory manufacturing"
"333517"," Machine tool manufacturing"
"333519"," Rolling mill and other metalworking machinery manufacturing"
"333611"," Turbine and turbine generator set units manufacturing"
"333612"," Speed changer, industrial high-speed drive, and gear manufacturing"
"333613"," Mechanical power transmission equipment manufacturing"
"333618"," Other engine equipment manufacturing"
"333912"," Air and gas compressor manufacturing"
"333914"," Measuring, dispensing, and other pumping equipment manufacturing"
"333922"," Conveyor and conveying equipment manufacturing"
"333923"," Overhead traveling crane, hoist, and monorail system manufacturing"
"333924"," Industrial truck, tractor, trailer, and stacker machinery manufacturing"
"333991"," Power-driven handtool manufacturing"
"333992"," Welding and soldering equipment manufacturing"
"333993"," Packaging machinery manufacturing"
"333994"," Industrial process furnace and oven manufacturing"
"333995"," Fluid power cylinder and actuator manufacturing"
"333996"," Fluid power pump and motor manufacturing"
"333998"," All other miscellaneous general purpose machinery manufacturing"
"334111"," Electronic computer manufacturing"
"334118"," Computer terminal and other computer peripheral equipment manufacturing"
"334210"," Telephone apparatus manufacturing"
"334220"," Radio and television broadcasting and wireless communications equipment manufacturing"
"334290"," Other communications equipment manufacturing"
"334310"," Audio and video equipment manufacturing"
"334412"," Bare printed circuit board manufacturing"
"334413"," Semiconductor and related device manufacturing"
"334416"," Capacitor, resistor, coil, transformer, and other inductor manufacturing"
"334417"," Electronic connector manufacturing"
"334418"," Printed circuit assembly (electronic assembly) manufacturing"
"334419"," Other electronic component manufacturing"
"334510"," Electromedical and electrotherapeutic apparatus manufacturing"
"334511"," Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing"
"334512"," Automatic environmental control manufacturing for residential, commercial, and appliance use"
"334513"," Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables"
"334514"," Totalizing fluid meter and counting device manufacturing"
"334515"," Instrument manufacturing for measuring and testing electricity and electrical signals"
"334516"," Analytical laboratory instrument manufacturing"
"334519"," Other measuring and controlling device manufacturing"
"334610"," Manufacturing and reproducing magnetic and optical media"
"335131"," Residential electric lighting fixture manufacturing"
"335132"," Commercial, industrial, and institutional electric lighting fixture manufacturing"
"335139"," Electric lamp bulb and other lighting equipment manufacturing"
"335210"," Small electrical appliance manufacturing"
"335220"," Major household appliance manufacturing"
"335311"," Power, distribution, and specialty transformer manufacturing"
"335312"," Motor and generator manufacturing"
"335313"," Switchgear and switchboard apparatus manufacturing"
"335314"," Relay and industrial control manufacturing"
"335910"," Battery manufacturing"
"335921"," Fiber optic cable manufacturing"
"335931"," Current-carrying wiring device manufacturing"
"335991"," Carbon and graphite product manufacturing"
"335999"," All other miscellaneous electrical equipment and component manufacturing"
"336110"," Automobile and light duty motor vehicle manufacturing"
"336120"," Heavy duty truck manufacturing"
"336211"," Motor vehicle body manufacturing"
"336212"," Truck trailer manufacturing"
"336213"," Motor home manufacturing"
"336214"," Travel trailer and camper manufacturing"
"336310"," Motor vehicle gasoline engine and engine parts manufacturing"
"336320"," Motor vehicle electrical and electronic equipment manufacturing"
"336330"," Motor vehicle steering and suspension components (except spring) manufacturing"
"336340"," Motor vehicle brake system manufacturing"
"336350"," Motor vehicle transmission and power train parts manufacturing"
"336360"," Motor vehicle seating and interior trim manufacturing"
"336370"," Motor vehicle metal stamping"
"336390"," Other motor vehicle parts manufacturing"
"336411"," Aircraft manufacturing"
"336412"," Aircraft engine and engine parts manufacturing"
"336413"," Other aircraft parts and auxiliary equipment manufacturing"
"336414"," Guided missile and space vehicle manufacturing"
"336510"," Railroad rolling stock manufacturing"
"336611"," Ship building and repairing"
"336612"," Boat building"
"336991"," Motorcycle, bicycle, and parts manufacturing"
"336999"," All other transportation equipment manufacturing"
"337110"," Wood kitchen cabinet and countertop manufacturing"
"337121"," Upholstered household furniture manufacturing"
"337122"," Nonupholstered wood household furniture manufacturing"
"337126"," Household furniture (except wood and upholstered) manufacturing"
"337127"," Institutional furniture manufacturing"
"337211"," Wood office furniture manufacturing"
"337212"," Custom architectural woodwork and millwork manufacturing"
"337214"," Office furniture (except wood) manufacturing"
"337215"," Showcase, partition, shelving, and locker manufacturing"
"337910"," Mattress manufacturing"
"339112"," Surgical and medical instrument manufacturing"
"339113"," Surgical appliance and supplies manufacturing"
"339114"," Dental equipment and supplies manufacturing"
"339115"," Ophthalmic goods manufacturing"
"339116"," Dental laboratories"
"339910"," Jewelry and silverware manufacturing"
"339920"," Sporting and athletic goods manufacturing"
"339930"," Doll, toy, and game manufacturing"
"339940"," Office supplies (except paper) manufacturing"
"339950"," Sign manufacturing"
"339991"," Gasket, packing, and sealing device manufacturing"
"339992"," Musical instrument manufacturing"
"339993"," Fastener, button, needle, and pin manufacturing"
"339994"," Broom, brush, and mop manufacturing"
"339995"," Burial casket manufacturing"
"339999"," All other miscellaneous manufacturing"
"423110"," Automobile and other motor vehicle merchant wholesalers"
"423120"," Motor vehicle supplies and new parts merchant wholesalers"
"423130"," Tire and tube merchant wholesalers"
"423140"," Motor vehicle parts (used) merchant wholesalers"
"423210"," Furniture merchant wholesalers"
"423220"," Home furnishing merchant wholesalers"
"423310"," Lumber, plywood, millwork, and wood panel merchant wholesalers"
"423320"," Brick, stone, and related construction material merchant wholesalers"
"423330"," Roofing, siding, and insulation material merchant wholesalers"
"423390"," Other construction material merchant wholesalers"
"423410"," Photographic equipment and supplies merchant wholesalers"
"423420"," Office equipment merchant wholesalers"
"423430"," Computer and computer peripheral equipment and software merchant wholesalers"
"423440"," Other commercial equipment merchant wholesalers"
"423450"," Medical, dental, and hospital equipment and supplies merchant wholesalers"
"423460"," Ophthalmic goods merchant wholesalers"
