"county","naics","establishments","avg_employment","avg_wkly_wage","avg_annual_wage"
"Baker County","111140",1,0,0,0
"Baker County","111211",6,0,0,0
"Baker County","111219",1,0,0,0
"Baker County","111421",2,0,0,0
"Baker County","111940",1,0,0,0
"Baker County","111998",4,0,0,0
"Baker County","112111",22,0,0,0
"Baker County","112910",1,0,0,0
"Baker County","112990",1,0,0,0
"Baker County","113310",3,0,0,0
"Baker County","114210",1,0,0,0
"Baker County","115112",1,0,0,0
"Baker County","115113",1,0,0,0
"Baker County","115114",1,0,0,0
"Baker County","115115",1,0,0,0
"Baker County","115210",1,0,0,0
"Baker County","115310",2,0,0,0
"Baker County","212220",3,0,0,0
"Baker County","212319",1,0,0,0
"Baker County","221111",2,0,0,0
"Baker County","221115",1,0,0,0
"Baker County","221122",1,0,0,0
"Baker County","221210",1,0,0,0
"Baker County","221310",4,0,0,0
"Baker County","236115",26,91,1133,58916
"Baker County","236118",4,14,1164,60528
"Baker County","236220",3,30,1516,78832
"Baker County","237110",2,0,0,0
"Baker County","237120",1,0,0,0
"Baker County","237130",1,0,0,0
"Baker County","237310",2,0,0,0
"Baker County","237990",2,0,0,0
"Baker County","238111",1,0,0,0
"Baker County","238122",1,0,0,0
"Baker County","238161",3,0,0,0
"Baker County","238211",5,0,0,0
"Baker County","238212",3,0,0,0
"Baker County","238221",6,0,0,0
"Baker County","238222",1,0,0,0
"Baker County","238311",2,0,0,0
"Baker County","238321",3,10,678,35256
"Baker County","238341",1,0,0,0
"Baker County","238352",1,0,0,0
"Baker County","238911",6,0,0,0
"Baker County","238912",1,0,0,0
"Baker County","238991",1,0,0,0
"Baker County","311811",1,0,0,0
"Baker County","312113",1,0,0,0
"Baker County","312120",1,0,0,0
"Baker County","312130",1,0,0,0
"Baker County","312140",1,0,0,0
"Baker County","316990",1,0,0,0
"Baker County","321912",2,0,0,0
"Baker County","323111",0,0,0,0
"Baker County","323113",2,0,0,0
"Baker County","327110",1,0,0,0
"Baker County","327310",1,0,0,0
"Baker County","327320",2,0,0,0
"Baker County","331529",1,0,0,0
"Baker County","332312",0,0,0,0
